iter	Logloss
0	0.6767192263
1	0.662787291
2	0.6455791572
3	0.6307856109
4	0.6134801124
5	0.6018214769
6	0.5881972049
7	0.5741034376
8	0.5632767211
9	0.5513215886
10	0.5395180885
11	0.5282337641
12	0.5170800368
13	0.5058456406
14	0.4930314809
15	0.482940039
16	0.4723695153
17	0.4612632992
18	0.4513308931
19	0.4413810167
20	0.4321569144
21	0.4210356654
22	0.4122724404
23	0.4050064717
24	0.3962229238
25	0.3872612557
26	0.3808818613
27	0.3713686994
28	0.3641084267
29	0.3578533812
30	0.3502422419
31	0.3420215977
32	0.3351939665
33	0.3279845309
34	0.3218076916
35	0.315511702
36	0.3109511747
37	0.3046390263
38	0.2998652003
39	0.2938043847
40	0.2871211214
41	0.2815397073
42	0.275995069
43	0.2712034045
44	0.2668924954
45	0.2623589782
46	0.2578177584
47	0.2528954845
48	0.2490758001
49	0.2441127348
50	0.2409465098
51	0.2369343999
52	0.2337774835
53	0.2299944208
54	0.2262883069
55	0.2227302169
56	0.2195975889
57	0.2152314873
58	0.211923478
59	0.208419545
60	0.2060809233
61	0.2035383414
62	0.2009195691
63	0.1977466305
64	0.1947752851
65	0.1918076121
66	0.1893136153
67	0.1855809551
68	0.1829926223
69	0.1807376188
70	0.1780931321
71	0.1759014006
72	0.1741616073
73	0.1720897339
74	0.1698650613
75	0.1679020418
76	0.1657967453
77	0.1635287784
78	0.1618758806
79	0.1596541424
80	0.1576462786
81	0.1562413389
82	0.1546287904
83	0.153086964
84	0.1514370856
85	0.1496107876
86	0.1482472995
87	0.1461490917
88	0.1441453559
89	0.1420003126
90	0.1404042938
91	0.138488451
92	0.136838569
93	0.1354000946
94	0.1338591059
95	0.1326748244
96	0.1315669128
97	0.130147924
98	0.1285403719
99	0.1271912937
100	0.1258402761
101	0.1245377726
102	0.1231503154
103	0.1220219218
104	0.120863583
105	0.119733142
106	0.1187507256
107	0.1177424705
108	0.1167825953
109	0.1159382379
110	0.1151799517
111	0.1141880104
112	0.1133257798
113	0.1125942323
114	0.1113003134
115	0.1102677851
116	0.1094967328
117	0.1087622186
118	0.1081414344
119	0.1072244339
120	0.1065996891
121	0.1059384368
122	0.1051171415
123	0.1042841128
124	0.1031812807
125	0.1026426779
126	0.1019627897
127	0.1013743007
128	0.1006233508
129	0.09981399843
130	0.09937526998
131	0.09851386503
132	0.09770357581
133	0.09705044436
134	0.09620572788
135	0.09578619185
136	0.09512723786
137	0.09452628153
138	0.09378194451
139	0.09311146356
140	0.0925113896
141	0.09172436437
142	0.09129904379
143	0.09062826523
144	0.08983573132
145	0.08943006348
146	0.08874283872
147	0.08834635551
148	0.08812360042
149	0.08743431662
150	0.08692714689
151	0.08629924376
152	0.08570664915
153	0.08510915484
154	0.0847115412
155	0.08424062294
156	0.08376155522
157	0.08333577075
158	0.0828860833
159	0.082525367
160	0.08190578291
161	0.08143495164
162	0.08091712246
163	0.08049738793
164	0.08013723987
165	0.07970096333
166	0.0792192306
167	0.07889093483
168	0.07834467491
169	0.07806054604
170	0.07784351989
171	0.077513768
172	0.07715657649
173	0.07676187591
174	0.07650958611
175	0.07615541806
176	0.07591060017
177	0.07549429077
178	0.0751283345
179	0.07470865503
180	0.07443828561
181	0.07417509159
182	0.07372574415
183	0.07324830049
184	0.07298329163
185	0.07280687537
186	0.07249612841
187	0.07228624876
188	0.07205248044
189	0.07178592296
190	0.07154385653
191	0.07132257765
192	0.07113264009
193	0.07083912479
194	0.07058690024
195	0.07038872457
196	0.06983778796
197	0.06956249352
198	0.06918424877
199	0.06884080406
200	0.06849098866
201	0.06816236995
202	0.06788007877
203	0.06761215328
204	0.0672877614
205	0.06708262011
206	0.06677413455
207	0.06650244969
208	0.06627572684
209	0.06597002549
210	0.06572006729
211	0.0656273811
212	0.06550099228
213	0.06523409176
214	0.06511642558
215	0.06487122859
216	0.06469802961
217	0.06455512328
218	0.064427582
219	0.06412270906
220	0.06398065068
221	0.06361655413
222	0.06344353244
223	0.06324884495
224	0.06313461822
225	0.06296746505
226	0.06281051955
227	0.06264681987
228	0.06234275083
229	0.06186785957
230	0.06139733307
231	0.06111537529
232	0.06094523803
233	0.06069796768
234	0.06040219512
235	0.06030626468
236	0.0601945251
237	0.05985385634
238	0.05956643889
239	0.05929926499
240	0.05916393602
241	0.05905064617
242	0.05893332578
243	0.05880700055
244	0.05870243033
245	0.05841820482
246	0.05827596088
247	0.05808584299
248	0.05797225939
249	0.05790678183
250	0.0577803462
251	0.0576465251
252	0.057574159
253	0.05737840579
254	0.05724552928
255	0.05711502704
256	0.05697773428
257	0.05687844258
258	0.05663942134
259	0.05653444256
260	0.05623612228
261	0.05600987736
262	0.05575856738
263	0.05557448622
264	0.05552743461
265	0.05535864142
266	0.05518855371
267	0.05505427367
268	0.05493828276
269	0.05477529805
270	0.05472976286
271	0.05454050861
272	0.05434943677
273	0.05414044114
274	0.05399458045
275	0.05379492499
276	0.05365086951
277	0.05343832045
278	0.05340629252
279	0.0532099818
280	0.05303939083
281	0.05282170971
282	0.05269476613
283	0.05258182813
284	0.05234605804
